,video_id,comment,likes
66,0IZS7ucM9qQ,"No chilli so no khara, or no spice. It will be only salty",0
67,0IZS7ucM9qQ,"Today iam going to cook matar pulao kavita ji, very nice",1
68,0IZS7ucM9qQ,Is video mein aapane bataya hai ki ek gilas chawal ke liye sa gilas Pani but Maine aapka dusra video dekha tha jismein ek gilas chawal ke liye dedh gilas Pani bataya tha I m confuse,0
69,0IZS7ucM9qQ,Aapka recipe mujhe bahut pasand aata hai didi,1
70,0IZS7ucM9qQ,Hello.chefNice.PuloaChef.Manuel.Bombay,1
71,0IZS7ucM9qQ,"Once in a week, I cook this. Easy to do... Taste delicious...Please post more recipes like this",1
72,0IZS7ucM9qQ,Very delicious 👍❤️,1
73,0IZS7ucM9qQ,Aapki yeh recipe mai har winter try karti hu😋,2
74,0IZS7ucM9qQ,Very very nice cooking,0
75,0IZS7ucM9qQ,Fantastic 👌,1
76,0IZS7ucM9qQ,Veeeeeery yammi bana hai mam...Zabardast... Thanks mam.... From Qatar 🇶🇦,1
77,0IZS7ucM9qQ,Mam main abhi pressure cooker main nahi balki open non stick bartan main bana raha hun tou rice main kitna pani dena hoga finally please abhi bata den?,0
79,0IZS7ucM9qQ,Dear madam your recipes is so good iam watching👀 daily your  video s,1
80,0IZS7ucM9qQ,I followed your recipe.😊It is the best pulao recipe 👌👌,2
81,0IZS7ucM9qQ,Ur instructions are crystal clear.     Thank U ..  . Very helpful for beginners,1
82,0IZS7ucM9qQ,Without adding taste maker how will it taste good?,0
83,0IZS7ucM9qQ,Hi kabita. Thanx a ton . I made it which was  relished by everyone,1
84,0IZS7ucM9qQ,I was searching ur old vdos. Nice to go thru. 🙏🙏,1
85,0IZS7ucM9qQ,"Thanks for this delicious recipe,  how much can I make in a 7 littered pressure cooker and then what will its measurements (no. Whistle,  water and other ingredients)?",0
87,0IZS7ucM9qQ,Aapne namak nhi dala kya,0
88,0IZS7ucM9qQ,"Nice presentation. I would like to suggest  to add 1 tsp kitchen king masala, pinch of sugar & 1 tbsp lemon juice to enhance its taste.",0
90,0IZS7ucM9qQ,Beautiful dish mam testy❤❤❤❤❤❤❤❤❤🙏🙏🙏🙏👍👍👍👍👌👌👌👌👌👌👏👏👏👏👏👏,2
91,0IZS7ucM9qQ,Aap mere favorite😍 ho,1
92,0IZS7ucM9qQ,SIMPLY.. HI FI NHI.... 🥰🥰🥰🥰🥰BHUT ACCHE... SE AP BATATE HO.....,0
93,0IZS7ucM9qQ,AP BHUT ACHHE SHEF 🥰🥰🥰🙏🙏🙏🙏🙏Ho KAVITA JI.....,1
95,0IZS7ucM9qQ,My kid loves this,0
96,0IZS7ucM9qQ,Didi muje bi sikhna he khana bana na kase jaldi demag me yaad ho,0
97,0IZS7ucM9qQ,Bahot hi mast pulav bana tha thank you ma'am,0
98,0IZS7ucM9qQ,Nice n tasty.,0
99,0IZS7ucM9qQ,The measurements you mentioned in this video is for how many people (no. of heads)? Please tell me.,0
100,0IZS7ucM9qQ,Buter use kr skte hy kya,0
101,0IZS7ucM9qQ,"Thanks to you Kavita, we have delicious food every weekend 👍🙂",7
102,0IZS7ucM9qQ,Bahut badhiya,0
103,0IZS7ucM9qQ,I made this pulao for the first time nd it turned out to be perfect.... 😋😋😋😋.. All loved it 😍thank you so much,1
104,0IZS7ucM9qQ,I like your video becoz u explain recipe without wasting time,0
105,0IZS7ucM9qQ,Bina roast kiye banao,0
107,0IZS7ucM9qQ,Very very nice recipe mam 🙏,1
108,0IZS7ucM9qQ,Wow looks so yummy i will surely try it 😋😋,1
109,0IZS7ucM9qQ,Wow nice 😋😋😋,0
110,0IZS7ucM9qQ,Today I tried this recipe.... awesome Thank  you so much 👍,0
111,0IZS7ucM9qQ,"Super duper recipe...,..😋👌👌👌🤗🤗",0
112,0IZS7ucM9qQ,Mam yellow polao ar alu dam plz dekheye,0
113,0IZS7ucM9qQ,Looks simple and delicious but why don't you add atleast 2 green or red chillies to this cause nothing is there for spices in the recipe....,0
114,0IZS7ucM9qQ,Kabita ji👌 apki her recipe itna easy hota hai ki biggner   v bna le,0
115,0IZS7ucM9qQ,"Hello Kabitaji,You explain procedure very nice.  You are decent & very good person.",0
116,0IZS7ucM9qQ,Mam apki wajah se mummy se gali nhi sun ni padti,0
118,0IZS7ucM9qQ,Jeera flavour deta hai,0
120,0IZS7ucM9qQ,Very nice👌👌,0
121,0IZS7ucM9qQ,"Nothing is added for hot taste very little ,green chilly pest is a must .",0
122,0IZS7ucM9qQ,yummy !! I also tried .. it was delicious ...,0
123,0IZS7ucM9qQ,1 no. Mam hme aapki recipes bhot pasnd aati hai,1
124,0IZS7ucM9qQ,Thanks mam first time mei ekdam best bane the,1
125,0IZS7ucM9qQ,Tried this today and it was really amazing. Thanks for the detailed recipe.,1
126,0IZS7ucM9qQ,Pyaz to daali nhi aapne,0
127,0IZS7ucM9qQ,"Your channel is so helpful for bachelor, moms thanks you so much mam 😊",3
128,0IZS7ucM9qQ,Very nice.. helpful...Good video💐💐💐💐💐,0
129,0IZS7ucM9qQ,Congratulations kavita di.. you can deserve it... because you the best,0
130,0IZS7ucM9qQ,Mam i tried it ..it was awesome and very nice ..thanks alot for your videos ..u are the best teacher ..lot of respect,0
131,0IZS7ucM9qQ,Very nice 👌,0
132,0IZS7ucM9qQ,Without cooker … How much Water,0
134,0IZS7ucM9qQ,Nice recipe 👌,0
137,0IZS7ucM9qQ,"God bless you, keep it up",0
138,0IZS7ucM9qQ,"Thanks, Ma'am, Easy methods  of your Recipes helps me in my home Cooking",0
139,0IZS7ucM9qQ,Thanks madam,1
140,0IZS7ucM9qQ,Madam aaj aap achhe lag rahe hai,1
141,0IZS7ucM9qQ,Amazing sbbb festival prr m yhi pulaoo bnati hu,1
142,0IZS7ucM9qQ,This recipe.... I made it so many times.... It works like a charm.... Itna simple magar utna hi tasty banta hain.... Thank you Kavita ji for this wonderful recipe ❤,0
145,0IZS7ucM9qQ,Good recipe superb thanks for sharing it,0
146,0IZS7ucM9qQ,Main bhi aapke hi tip ke sath follow Kiya aur bahut hi acchi Bani thank you so much tips share karne ke liye,1
147,0IZS7ucM9qQ,Thank you so much,1
148,0IZS7ucM9qQ,Mam I am an engineering student and your recipies are the reason why I m called chef of my hostel 😂,2
149,0IZS7ucM9qQ,How lovely voice you have,0
150,0IZS7ucM9qQ,Awesome and mind blowing. Explained very easily and clearly. Simple steps to follow and great results. Thank you so much for this.,1
151,0IZS7ucM9qQ,Ma'am matar ka colour change ho jata hai light green ho jata hai plz koyi tip bataiye ki colour change n ho,0
152,0IZS7ucM9qQ,Medam Maine banaya to rice patile chipk kyo gaye,0
153,0IZS7ucM9qQ,Thank you very easy  and very nice,0
154,0IZS7ucM9qQ,Very nice n easy recipe 👍,0
155,0IZS7ucM9qQ,🤮🤮 jeera kyon Nahin Dala aapane recipe mein mujhe yah puchna,0
156,0IZS7ucM9qQ,"No onion, no ginger-garlic????? Why not???",0
159,0IZS7ucM9qQ,Super tasteI cooked today 😊,0
160,0IZS7ucM9qQ,Very nice 👌,0
161,0IZS7ucM9qQ,Sup banaiye. Ga,1
162,0IZS7ucM9qQ,Good Evening Kavita ji...I like marar Pulao especially your channel ❤️😘😍🎊,0
163,0IZS7ucM9qQ,Awesome 👌 turned out very tasty 😋,2
165,0IZS7ucM9qQ,Perfect cooking...many pulao recipes are either overspiced or has too much of vegetables.,0
167,0IZS7ucM9qQ,Tastyyyy yum yum yummmm🤤🤤🤤🤤🤤🤤😋😋😋😋,0
168,0IZS7ucM9qQ,Kavitaji my f/b a/c is HackedWhatsApp also Blocked by not updating my new number is 8787420070,0
169,0IZS7ucM9qQ,What is javitri,0
170,0IZS7ucM9qQ,"Hello Ma'am,Maine kl bnaya tha cooker me but unfortunately acha nai bna tha...  Sb hasne lge the.",0
171,0IZS7ucM9qQ,Most of the time I do this recipe n my baby loved it,0
172,0IZS7ucM9qQ,Cashew skip ker sak te he,0
173,0IZS7ucM9qQ,"4 years ago, Kabita ji while cooking this recipe, never knew that she would be hitting 10M and would be one of India's biggest channels! So great!!! 👌🙏💛👏👏",0
174,0IZS7ucM9qQ,Pyaz koun dalega?,0
176,0IZS7ucM9qQ,Yummy receip tried today,0
177,0IZS7ucM9qQ,I tried this recipe... Also added in carrots and raisins. It turned out so well. Everyone loved it❤,3
178,0IZS7ucM9qQ,"Very,very,nice",0
180,0IZS7ucM9qQ,Ma'am jeera na daalne ki koi khaas wejeh hai kya?,0
181,0IZS7ucM9qQ,Tasty pulav,0
182,0IZS7ucM9qQ,Both Are Best.....,0
183,0IZS7ucM9qQ,Acha woooo9,0
184,0IZS7ucM9qQ,You are a savior for people like us who are staying in pardes,17
185,0IZS7ucM9qQ,Awesome Kavitaji,0
186,0IZS7ucM9qQ,"Well, what an easy recipe.Your description voice is simiar to one that's heard on board planes.Thank you for making it so simple.",4
187,0IZS7ucM9qQ,This was very nice without much masala..keeping it very healthy and tasty💕💕💕,2
188,0IZS7ucM9qQ,"Dipak,. Sanu,. 😀😃😄😁😆😅😂🤣☺😊😇🙂🙃😉😌😍🥰😘😗😙😚😋😜😝😛🤑🤗🤪🤨🧐🤓😎🤩🥳🤡🤠😏😒😞😔😟😕🙁☹️😣😖😫😩🥺😤😠😡🤬🤯😶🥵🥶😐😑😯😦😧😮😲😵😳😱😨😰😢🤔🤐🤐😬😾😸😼😿😸☠️🤖👹👺💀👻😹😼💀☠️Dipak,. Sahu,. 👒💄👗🌂👙🌊︵‿︵(°□°)︵‿︵🎾🚛🚒🚓🚙🛴🚒🍉🍌🥭🍍🍇🥦🥦🍠🥝🥔🧀",1
189,0IZS7ucM9qQ,Thank you for this lovely recipe. God bless💜🤗,5
191,0IZS7ucM9qQ,Thank You 🙏,0
194,0IZS7ucM9qQ,Mam....agr..khada msaala ( garam msaala ) kisi ko nhi psnd h ...toh hum usko pees kr daal skte h. Ky....usme koi problem toh nhi 🤨😊,0
195,0IZS7ucM9qQ,You're so soft so decent may God bless you and your family.,8
196,0IZS7ucM9qQ,Absolutely yummy....,0
199,0IZS7ucM9qQ,Aapi aawaj bhut saachi haii,1
201,0IZS7ucM9qQ,I like the way u explained,0
202,0IZS7ucM9qQ,I tried it today..  It was yummy so tasty I loved it,5
203,0IZS7ucM9qQ,Ghe mujhe pasan nhai hai,0
205,0IZS7ucM9qQ,Thank you so much,1
206,0IZS7ucM9qQ,Mdm aapki voice bhut pyari h. ❤️❤️❤️🙏🙏🙏 Mdm   rasgolla kse bnaye.... Q ki mere  bnaye hue to mote hi nhi hote. 😂😂 Mtlb ki chasni ni piite,0
207,0IZS7ucM9qQ,Basmati chawal hai ??,0
208,0IZS7ucM9qQ,Amazing recipe thanks for sharing,1
209,0IZS7ucM9qQ,Tried it for the first time.. and the outcome was DELICIOUS. Thanks for the recipe,6
210,0IZS7ucM9qQ,Mission passed thank you mam,0
211,0IZS7ucM9qQ,Simple and tasty,1
212,0IZS7ucM9qQ,Thanks for your guidance which makes dish simple yet tasty,1
213,0IZS7ucM9qQ,Your receipe is very essay to cook Kavita & tasty also.❤️❤️❤️ Lovely🙏🙏🙏🙏🙏🙏🙏 ❤️❤️❤️❤️,0
214,0IZS7ucM9qQ,Mem please fish pkoda bna ne ki recipe bhi btaaiye,0
215,0IZS7ucM9qQ,i tried it. came out perfect.,1
217,0IZS7ucM9qQ,Good pulaw tastey  recipe  mam,1
218,0IZS7ucM9qQ,I like her no nonsense approach... other chefs waste time in trivial talks and start the actual recipe after 4 minutes of chit chat,3
219,0IZS7ucM9qQ,Very nice recipe😋 mein apki sari videos dekhti hu apki sari videos bahut achhi hai 😘 love frm Goa 🌴🌊,0
220,0IZS7ucM9qQ,Mam 25 logo ke liye kitna basmati chawal lagega Or kitna pani??,0
221,0IZS7ucM9qQ,Very nice Madam Aapka voice bahut sweet,0
222,0IZS7ucM9qQ,Wonderful recipe.. Turned out to be one of the best 👍,1
223,0IZS7ucM9qQ,Hot ki cold,1
225,0IZS7ucM9qQ,I tried this recipe and I love it. Very delicious,4
226,0IZS7ucM9qQ,"Looking so tasty,I will try.",0
227,0IZS7ucM9qQ,Why not use jeera we don't eat without,0
228,0IZS7ucM9qQ,Ye ek gass chaval ka pulaw h or agar hame teen glass chaval ka banana h tab kitna pani use hoga koi bataye plz,0
231,0IZS7ucM9qQ,"Hello, friend. It looks so delicious. It helps a lot with cooking.😋😋",1
232,0IZS7ucM9qQ,Really came out yummy.. thank you so much for reiterating the important tips.,1
233,0IZS7ucM9qQ,Kitna acha pulao hai,0
234,0IZS7ucM9qQ,Very nice di,1
235,0IZS7ucM9qQ,Nhi blkul achchcha nhi h aese nhi bnta..,0
236,0IZS7ucM9qQ,Very nice suggestions. Subesh Kumar Sinha,0
238,0IZS7ucM9qQ,Very good 👍👍Cloves also not used...,0
239,0IZS7ucM9qQ,Oo i make and I like your style of saying things......,0
241,0IZS7ucM9qQ,"It,s so much tasty looking omg👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌😋😋😋😋😋😋😋😋😋😋😋🤩🙏",1
242,0IZS7ucM9qQ,Thank you 🙂,0
244,0IZS7ucM9qQ,Delicious 👍🏻,0
246,0IZS7ucM9qQ,Nice mater pulao thank u maim,0
247,0IZS7ucM9qQ,Who watch in 2021,1
248,0IZS7ucM9qQ,Nice recipe & tips.,0
249,0IZS7ucM9qQ,Wah  bhut hi aasan trika bataya aapna dhanyavaad,0
250,0IZS7ucM9qQ,Yummy very nice,0
251,0IZS7ucM9qQ,Proud jeera Dal sakte hain,1
252,0IZS7ucM9qQ,Aap mircha dalna bhul gai kya 😁😁,0
253,0IZS7ucM9qQ,Delicious food,0
254,0IZS7ucM9qQ,Very nice me v try krungi,0
255,0IZS7ucM9qQ,Nice 👌🏻👌🏻👌🏻,0
256,0IZS7ucM9qQ,Apke bolne or samjhane ka tarika bohot hi anokha hai..thank u Mam😍,0
257,0IZS7ucM9qQ,Yummy and easy to make 👌👍🙏,1
258,0IZS7ucM9qQ,Thnk u mam I tried first time n it's cooked awesome... Mmmmuuuuaaaahhhhhh lov u a lot mam... Bht acha bana mera pulao,1
260,0IZS7ucM9qQ,Today I made this and my family loved it❤️ thank you so much👍,0
261,0IZS7ucM9qQ,Very nice Di agar 2 glass chawal hai to Pani Kitna dallay or peeli moongi daal ki khichri ki recepi b btao di,0
262,0IZS7ucM9qQ,Aap ne to mirchi dali nahi 😁😉,0
264,0IZS7ucM9qQ,If dont want to cook in cooker then how to do,0
265,0IZS7ucM9qQ,Very easy  and tasty,1
267,0IZS7ucM9qQ,upar se fried onions daalkar serve karen toh aur bhi tasty ho jaata hai. Peas pulao is my favourite. I like to eat it with toor dal fry or chole. :-),0
268,0IZS7ucM9qQ,Nice ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,1
269,0IZS7ucM9qQ,Main bahut achcha banaya aap ki tric se bahut achcha hai,2
270,0IZS7ucM9qQ,Your recipes very good,1
271,0IZS7ucM9qQ,Woww Yummy And so easy Looking awesome and delicious.,0
272,0IZS7ucM9qQ,Bina cooker ke kaise banaye 😂😂,0
273,0IZS7ucM9qQ,Very delicious and my favorite Rice Mam. Thank you so much upload this Rice Recipe..,5
274,0IZS7ucM9qQ,Amazing recipe 👍👍👍,0
275,0IZS7ucM9qQ,The rice you use on daily basis & the one u use to make pulao/biryani - could you let me know the brand pls?,0
278,0IZS7ucM9qQ,Very nice reciepe. I 'll try.,1
279,0IZS7ucM9qQ,I tried this Recipe n it came out really well.. Thank You For Sharing These Amazing Recipes With Most Important Tips n Tricks 🙏❤️,1
280,0IZS7ucM9qQ,"Aapki aawaj bahot achhi hai .. aur aap bahot achhe se samzati hai....,,,👌",0
281,0IZS7ucM9qQ,Awesome 🥰🥰🥰,1
283,0IZS7ucM9qQ,Mouth watery 😋,1
285,0IZS7ucM9qQ,Good looking 👍❤️,0
286,0IZS7ucM9qQ,Very nice video mam. For matar pulao which side dish will be the best ?,0
288,0IZS7ucM9qQ,Thanks you so much mam ✌️,0
289,0IZS7ucM9qQ,Tej pta v nhi h ghee v nhi h bhut sare chij nhi h to kya kre,0
290,0IZS7ucM9qQ,Matter nhi h hamre yha kux or dal skte b ...,0
291,0IZS7ucM9qQ,good time cook,0
294,0IZS7ucM9qQ,Amazing ma'am,1
295,0IZS7ucM9qQ,Thanks mam....I had tried that,0
296,0IZS7ucM9qQ,Bohot swadisht polaav banaa h👌,1
297,0IZS7ucM9qQ,"Wow I tried n that looked awesomeN very tasty my son loved that, I will make it again thank u maam",9
299,0IZS7ucM9qQ,I tried and came out to be awesome.. thank you so much!!,2
300,0IZS7ucM9qQ,Easy ....thank u,0
301,0IZS7ucM9qQ,"Hello madam,i tried it today. My all family members love it. Its raste amazing,😋😋😋",1
302,0IZS7ucM9qQ,Thanks madam🥰,0
304,0IZS7ucM9qQ,I am very amateur when it comes to cooking but I followed your recipe extremely carefully and the results were Amazing ❤ loved it...Thank you,2
305,0IZS7ucM9qQ,Chili use ni ki ap ne,0
307,0IZS7ucM9qQ,Thank you bhabi ji. Aap ka recipe bohut hi kamal ka hai,0
308,0IZS7ucM9qQ,16m views 😵,0
309,0IZS7ucM9qQ,Hello mam app ka sara recipe acha lag te hai,1
310,0IZS7ucM9qQ,I like this channel trying to learn how to prepare Indian foods the easy and healthy way.,0
311,0IZS7ucM9qQ,This recipe is very good I love it,0
312,0IZS7ucM9qQ,Kanitaji namaskar.  What a perfect measurement.  I prepare  n its quite nice. Thanks.,0
313,0IZS7ucM9qQ,I have also tried 2/3 times. It came superb. Ty so much kabita ji. 🙏🏼🙏🏼❤❤,1
314,0IZS7ucM9qQ,What to add for spice....??,0
315,0IZS7ucM9qQ,"I wish you were my neighbour so easy, hasslefree and healthy as well",2
316,0IZS7ucM9qQ,Wah so simple. 👍👏👏👏🤤,0
318,0IZS7ucM9qQ,Kaju  ko skip kr skte h kya,1
319,0IZS7ucM9qQ,"Thank you mam, looks yummy 👍👍👍",1
320,0IZS7ucM9qQ,Thanku mam..aap bahut achhe se batati hai aur wo aasani se samangh me aa jata hai...maine aapka mitha palow v try kiya bahut tasty bana,1
321,0IZS7ucM9qQ,Looking delicious,1
322,0IZS7ucM9qQ,I like all your recipe and I like to see over and over again,0
323,0IZS7ucM9qQ,Bohot accha,1
324,0IZS7ucM9qQ,how to make this in open pot? what should be the ratio of water? and should i cook it on low flame or high flame?,0
325,0IZS7ucM9qQ,nice recipe,0
327,0IZS7ucM9qQ,Can u  pls.share moong dal halwa  without milk.,0
328,0IZS7ucM9qQ,Nice and simple. I like your recipees,2
329,0IZS7ucM9qQ,Nice recepi mam tq,0
330,0IZS7ucM9qQ,afgw8dffgalf7faosvskf,0
333,0IZS7ucM9qQ,Kabitaji how to make tofu?,1
334,0IZS7ucM9qQ,Bahut Achcha Laga aapka recipe,0
335,0IZS7ucM9qQ,Just Wow....I can't believe that mere hath se itna achha rice bana aaj... Thank you so much....it was very testy.... N.. Nice look alsoVery nice recipe...👍,3
336,0IZS7ucM9qQ,I tried this recipe just amazing thank you so much ❤,12
337,0IZS7ucM9qQ,Bahut hi achcha banata aapka mutton pulao,0
338,0IZS7ucM9qQ,"Bohut easy hai ye toh ,nice",0
339,0IZS7ucM9qQ,I also tried this recipe..turned out really delicious..,3
340,0IZS7ucM9qQ,"KabitaJi, i tried this Pulao in today's lunch. Truly, awesome ❤️ My Mother and Neighbour loved this Pulao. I served with your Paneer Ki Sabzi posted recently. It was a 'deadly combination'. Everyone enjoyed. All credits to you for sharing such delicious recipes. ❤️❤️❤️",14
341,0IZS7ucM9qQ,No spice? Chilly or chilly powder?,0
342,0IZS7ucM9qQ,mujhe yeh bahut pasand hai,0
343,0IZS7ucM9qQ,I have tried it today ....its awesome 👌,0
344,0IZS7ucM9qQ,You are my all time favourite❤️,0
345,0IZS7ucM9qQ,Mirch kb daalna hai,0
346,0IZS7ucM9qQ,I made puloa just as u said but the taste was bitter😭 don't know ❓.,0
348,0IZS7ucM9qQ,kavita you look so fucking hot,0
349,0IZS7ucM9qQ,Very nice 👌,1
350,0IZS7ucM9qQ,"After COMPLETING my School Life I Come Raipur For Higher Education. But I Didn't Know How To Make Food, Your Viedeo Help me A lot, Thank U Mammm, I Also missed My Mom When I Cook",1
351,0IZS7ucM9qQ,Zeera q nhi dale zeera dalne se to or acha test aayega na ?,0
352,0IZS7ucM9qQ,Outstanding,1
353,0IZS7ucM9qQ,Very nice repices 😘😍😘😍😘😍😘😍😘😍,2
355,0IZS7ucM9qQ,App ka video mujhe bahat achhi lagi,0
356,0IZS7ucM9qQ,It was perfect thank you,1
357,0IZS7ucM9qQ,Hey it just turn the way it should yummy ...tummy..its a good and quick recipe for people.on the go...,10
358,0IZS7ucM9qQ,Di aap ne kaun sa basmati rice liya hai uska naame kya h,0
359,0IZS7ucM9qQ,Cawal Ko Phale Sei Panii Mei Rakh Dena Chaiye Kya,0
360,0IZS7ucM9qQ,Bad idea to add some sugar?,0
361,0IZS7ucM9qQ,I tried just.its very nice.good proportions.thank you....,0
364,0IZS7ucM9qQ,Ma'am aapne salt use nahi kiya??,0
366,0IZS7ucM9qQ,Change your photo please and your recipes are mind-blowing you are the best,0
367,0IZS7ucM9qQ,Tried this recipe and was mouth watering. Thank you,6
368,0IZS7ucM9qQ,I tried it today it was awesome . thanks mam for this simple recipe,3
369,0IZS7ucM9qQ,Got accolades from parents and sister. Thanks for such a simple & nice recipe. :-),1
370,0IZS7ucM9qQ,Simple and best,0
372,0IZS7ucM9qQ,Came ok madam. People didn’t like as it was plain with out masala spice 😟,0
373,0IZS7ucM9qQ,Mattar pulavu  delishes and super dish wow aveshom recipie,1
375,0IZS7ucM9qQ,You explain very well. Love all your recipes 😍,1
376,0IZS7ucM9qQ,Made this dish for lunch today.Easy and simple recepie.For 2 cups rice 4 whistles is ok??,0
378,0IZS7ucM9qQ,"I tried your recipe today, it came out really yummy. Thanks 😊",1
379,0IZS7ucM9qQ,Thank you will try tomorrow.  Nice measurements given. 👍,0
380,0IZS7ucM9qQ,Hello mam....i tried it today and it came out to be perfect.....infact all ur recipes are easy and delicious,0
381,0IZS7ucM9qQ,Aap ki har recipe jhaksh,0
382,0IZS7ucM9qQ,Nice Kabita lagey raho👍🌹,0
383,0IZS7ucM9qQ,Mam Mithi pulao plz dekhe na,0
384,0IZS7ucM9qQ,Kitna tasty bana,1
385,0IZS7ucM9qQ,I made this very delicious matar pulav my family loved it thanks for the recipe 😍🤩🤩🤩,0
387,0IZS7ucM9qQ,Hello Kabita!I just subscribed ! I love Indian food and Indian people. Thank for your work! I will try to make some of your recipes! Good luck! Cheers from Spain ! 👍🥘,0
388,0IZS7ucM9qQ,Thank sharing minds,0
389,0IZS7ucM9qQ,nicee video mam,0
390,0IZS7ucM9qQ,Madam can I use onions in it,0
